time	thickness
ms	um
3	0.31024
4	0.31284
5	0.32323
6	0.34721
7	0.37646
8	0.40544
9	0.43264
10	0.45764
11	0.48035
12	0.50112
13	0.52012
14	0.53761
15	0.55366
16	0.5685
17	0.58225
18	0.59503
19	0.60691
20	0.61801
21	0.62838
22	0.63808
23	0.64715
24	0.65564
25	0.66361
26	0.6711
27	0.67813
28	0.68475
29	0.69098
30	0.69684
31	0.70236
32	0.70756
33	0.71245
34	0.71707
35	0.72142
36	0.72552
37	0.72938
38	0.733
39	0.73643
40	0.73966
41	0.74272
42	0.7456
43	0.74833
44	0.75088
45	0.75328
46	0.75556
47	0.75771
48	0.75975
49	0.76168
50	0.7635
